LIGHT (lux),Time since start in ms,YYYY-MO-DD HH-MI-SS.SSSS
67.00,5470,2022-03-30 20:52:19.0450
67.00,5517,2022-03-30 20:52:19.0910
67.00,5564,2022-03-30 20:52:19.1380
67.00,5605,2022-03-30 20:52:19.1790
18.00,5650,2022-03-30 20:52:19.2250
18.00,5684,2022-03-30 20:52:19.2590
18.00,5718,2022-03-30 20:52:19.2930
18.00,5747,2022-03-30 20:52:19.3220
18.00,5782,2022-03-30 20:52:19.3560
18.00,5829,2022-03-30 20:52:19.4030
18.00,5875,2022-03-30 20:52:19.4490
18.00,5920,2022-03-30 20:52:19.4950
18.00,5967,2022-03-30 20:52:19.5420
18.00,6015,2022-03-30 20:52:19.5890
18.00,6062,2022-03-30 20:52:19.6360
18.00,6110,2022-03-30 20:52:19.6840
18.00,6156,2022-03-30 20:52:19.7310
18.00,6200,2022-03-30 20:52:19.7750
18.00,6246,2022-03-30 20:52:19.8210
18.00,6281,2022-03-30 20:52:19.8560
18.00,6309,2022-03-30 20:52:19.8830
23.00,6340,2022-03-30 20:52:19.9140
23.00,6371,2022-03-30 20:52:19.9460
23.00,6406,2022-03-30 20:52:19.9810
23.00,6439,2022-03-30 20:52:20.0140
23.00,6483,2022-03-30 20:52:20.0570
23.00,6528,2022-03-30 20:52:20.1030
23.00,6576,2022-03-30 20:52:20.1500
23.00,6621,2022-03-30 20:52:20.1950
23.00,6667,2022-03-30 20:52:20.2420
23.00,6712,2022-03-30 20:52:20.2860
23.00,6760,2022-03-30 20:52:20.3350
23.00,6812,2022-03-30 20:52:20.3860
23.00,6872,2022-03-30 20:52:20.4460
23.00,6919,2022-03-30 20:52:20.4940
23.00,6964,2022-03-30 20:52:20.5380
23.00,7010,2022-03-30 20:52:20.5850
37.00,7060,2022-03-30 20:52:20.6350
37.00,7107,2022-03-30 20:52:20.6820
37.00,7152,2022-03-30 20:52:20.7270
37.00,7198,2022-03-30 20:52:20.7720
37.00,7244,2022-03-30 20:52:20.8180
37.00,7289,2022-03-30 20:52:20.8630
37.00,7337,2022-03-30 20:52:20.9110
37.00,7383,2022-03-30 20:52:20.9570
37.00,7430,2022-03-30 20:52:21.0040
37.00,7478,2022-03-30 20:52:21.0520
37.00,7523,2022-03-30 20:52:21.0970
37.00,7569,2022-03-30 20:52:21.1430
37.00,7617,2022-03-30 20:52:21.1910
37.00,7664,2022-03-30 20:52:21.2380
37.00,7711,2022-03-30 20:52:21.2860
42.00,7772,2022-03-30 20:52:21.3470
42.00,7832,2022-03-30 20:52:21.4060
42.00,7877,2022-03-30 20:52:21.4520
42.00,7913,2022-03-30 20:52:21.4880
42.00,7948,2022-03-30 20:52:21.5220
42.00,7989,2022-03-30 20:52:21.5640
42.00,8024,2022-03-30 20:52:21.5990
42.00,8054,2022-03-30 20:52:21.6290
42.00,8098,2022-03-30 20:52:21.6720
42.00,8147,2022-03-30 20:52:21.7220
42.00,8193,2022-03-30 20:52:21.7670
42.00,8239,2022-03-30 20:52:21.8140
42.00,8285,2022-03-30 20:52:21.8590
42.00,8330,2022-03-30 20:52:21.9050
42.00,8376,2022-03-30 20:52:21.9510
42.00,8428,2022-03-30 20:52:22.0030
32.00,8474,2022-03-30 20:52:22.0480
32.00,8513,2022-03-30 20:52:22.0880
32.00,8544,2022-03-30 20:52:22.1190
32.00,8596,2022-03-30 20:52:22.1710
32.00,8641,2022-03-30 20:52:22.2160
32.00,8703,2022-03-30 20:52:22.2770
32.00,8750,2022-03-30 20:52:22.3240
32.00,8796,2022-03-30 20:52:22.3710
32.00,8837,2022-03-30 20:52:22.4120
32.00,8872,2022-03-30 20:52:22.4470
32.00,8904,2022-03-30 20:52:22.4790
32.00,8953,2022-03-30 20:52:22.5270
32.00,8991,2022-03-30 20:52:22.5660
32.00,9020,2022-03-30 20:52:22.5950
32.00,9057,2022-03-30 20:52:22.6320
32.00,9105,2022-03-30 20:52:22.6800
34.00,9153,2022-03-30 20:52:22.7280
34.00,9199,2022-03-30 20:52:22.7740
34.00,9245,2022-03-30 20:52:22.8190
34.00,9289,2022-03-30 20:52:22.8640
34.00,9335,2022-03-30 20:52:22.9100
34.00,9383,2022-03-30 20:52:22.9580
34.00,9446,2022-03-30 20:52:23.0200
34.00,9497,2022-03-30 20:52:23.0710
34.00,9545,2022-03-30 20:52:23.1190
34.00,9590,2022-03-30 20:52:23.1640
34.00,9636,2022-03-30 20:52:23.2110
34.00,9673,2022-03-30 20:52:23.2480
34.00,9694,2022-03-30 20:52:23.2680
34.00,9712,2022-03-30 20:52:23.2870
34.00,9731,2022-03-30 20:52:23.3060
34.00,9751,2022-03-30 20:52:23.3250
34.00,9776,2022-03-30 20:52:23.3500
34.00,9807,2022-03-30 20:52:23.3810
45.00,9844,2022-03-30 20:52:23.4190
45.00,9889,2022-03-30 20:52:23.4630
45.00,9934,2022-03-30 20:52:23.5080
45.00,9980,2022-03-30 20:52:23.5550
45.00,10025,2022-03-30 20:52:23.6000
45.00,10071,2022-03-30 20:52:23.6460
45.00,10107,2022-03-30 20:52:23.6820
45.00,10156,2022-03-30 20:52:23.7300
45.00,10202,2022-03-30 20:52:23.7760
45.00,10250,2022-03-30 20:52:23.8250
45.00,10289,2022-03-30 20:52:23.8630
45.00,10321,2022-03-30 20:52:23.8950
45.00,10350,2022-03-30 20:52:23.9240
45.00,10393,2022-03-30 20:52:23.9670
45.00,10443,2022-03-30 20:52:24.0170
45.00,10489,2022-03-30 20:52:24.0640
45.00,10518,2022-03-30 20:52:24.0920
32.00,10564,2022-03-30 20:52:24.1390
32.00,10615,2022-03-30 20:52:24.1900
32.00,10663,2022-03-30 20:52:24.2380
32.00,10722,2022-03-30 20:52:24.2970
32.00,10784,2022-03-30 20:52:24.3590
32.00,10823,2022-03-30 20:52:24.3980
32.00,10856,2022-03-30 20:52:24.4310
32.00,10887,2022-03-30 20:52:24.4620
32.00,10920,2022-03-30 20:52:24.4940
32.00,10942,2022-03-30 20:52:24.5160
32.00,10961,2022-03-30 20:52:24.5360
32.00,10981,2022-03-30 20:52:24.5560
32.00,11001,2022-03-30 20:52:24.5760
32.00,11021,2022-03-30 20:52:24.5950
32.00,11042,2022-03-30 20:52:24.6170
32.00,11062,2022-03-30 20:52:24.6360
32.00,11084,2022-03-30 20:52:24.6580
32.00,11113,2022-03-30 20:52:24.6870
32.00,11142,2022-03-30 20:52:24.7170
32.00,11173,2022-03-30 20:52:24.7470
32.00,11195,2022-03-30 20:52:24.7690
32.00,11219,2022-03-30 20:52:24.7930
32.00,11243,2022-03-30 20:52:24.8180
32.00,11262,2022-03-30 20:52:24.8370
32.00,11284,2022-03-30 20:52:24.8590
32.00,11302,2022-03-30 20:52:24.8760
32.00,11322,2022-03-30 20:52:24.8960
32.00,11350,2022-03-30 20:52:24.9250
32.00,11379,2022-03-30 20:52:24.9530
32.00,11407,2022-03-30 20:52:24.9810
32.00,11438,2022-03-30 20:52:25.0120
32.00,11466,2022-03-30 20:52:25.0400
32.00,11508,2022-03-30 20:52:25.0820
32.00,11554,2022-03-30 20:52:25.1280
32.00,11600,2022-03-30 20:52:25.1740
32.00,11646,2022-03-30 20:52:25.2210
32.00,11689,2022-03-30 20:52:25.2640
32.00,11734,2022-03-30 20:52:25.3080
32.00,11783,2022-03-30 20:52:25.3570
32.00,11832,2022-03-30 20:52:25.4060
32.00,11877,2022-03-30 20:52:25.4510
32.00,11921,2022-03-30 20:52:25.4950
48.00,11970,2022-03-30 20:52:25.5440
48.00,12015,2022-03-30 20:52:25.5900
48.00,12058,2022-03-30 20:52:25.6330
48.00,12086,2022-03-30 20:52:25.6610
48.00,12127,2022-03-30 20:52:25.7010
48.00,12176,2022-03-30 20:52:25.7510
48.00,12222,2022-03-30 20:52:25.7970
48.00,12266,2022-03-30 20:52:25.8400
48.00,12329,2022-03-30 20:52:25.9040
48.00,12375,2022-03-30 20:52:25.9500
48.00,12420,2022-03-30 20:52:25.9940
48.00,12455,2022-03-30 20:52:26.0300
48.00,12487,2022-03-30 20:52:26.0620
48.00,12521,2022-03-30 20:52:26.0960
48.00,12559,2022-03-30 20:52:26.1340
48.00,12587,2022-03-30 20:52:26.1620
48.00,12613,2022-03-30 20:52:26.1880
32.00,12644,2022-03-30 20:52:26.2180
32.00,12677,2022-03-30 20:52:26.2520
32.00,12698,2022-03-30 20:52:26.2730
32.00,12726,2022-03-30 20:52:26.3010
32.00,12753,2022-03-30 20:52:26.3280
32.00,12784,2022-03-30 20:52:26.3580
32.00,12824,2022-03-30 20:52:26.3980
32.00,12869,2022-03-30 20:52:26.4430
32.00,12913,2022-03-30 20:52:26.4880
32.00,12959,2022-03-30 20:52:26.5340
32.00,13008,2022-03-30 20:52:26.5820
32.00,13057,2022-03-30 20:52:26.6310
32.00,13107,2022-03-30 20:52:26.6820
32.00,13155,2022-03-30 20:52:26.7300
32.00,13199,2022-03-30 20:52:26.7740
32.00,13247,2022-03-30 20:52:26.8210
32.00,13292,2022-03-30 20:52:26.8670
32.00,13331,2022-03-30 20:52:26.9050
32.00,13381,2022-03-30 20:52:26.9560
32.00,13429,2022-03-30 20:52:27.0030
32.00,13474,2022-03-30 20:52:27.0490
32.00,13523,2022-03-30 20:52:27.0970
32.00,13569,2022-03-30 20:52:27.1430
32.00,13616,2022-03-30 20:52:27.1910
32.00,13662,2022-03-30 20:52:27.2360
32.00,13709,2022-03-30 20:52:27.2840
32.00,13758,2022-03-30 20:52:27.3320
32.00,13804,2022-03-30 20:52:27.3780
32.00,13850,2022-03-30 20:52:27.4240
32.00,13896,2022-03-30 20:52:27.4710
32.00,13941,2022-03-30 20:52:27.5160
32.00,13988,2022-03-30 20:52:27.5630
32.00,14035,2022-03-30 20:52:27.6100
44.00,14080,2022-03-30 20:52:27.6550
44.00,14112,2022-03-30 20:52:27.6870
44.00,14143,2022-03-30 20:52:27.7170
44.00,14173,2022-03-30 20:52:27.7480
44.00,14206,2022-03-30 20:52:27.7800
44.00,14251,2022-03-30 20:52:27.8260
44.00,14300,2022-03-30 20:52:27.8750
44.00,14350,2022-03-30 20:52:27.9250
44.00,14396,2022-03-30 20:52:27.9700
44.00,14443,2022-03-30 20:52:28.0180
44.00,14491,2022-03-30 20:52:28.0650
44.00,14536,2022-03-30 20:52:28.1110
44.00,14582,2022-03-30 20:52:28.1570
44.00,14629,2022-03-30 20:52:28.2030
44.00,14676,2022-03-30 20:52:28.2500
44.00,14721,2022-03-30 20:52:28.2950
37.00,14766,2022-03-30 20:52:28.3400
37.00,14814,2022-03-30 20:52:28.3880
37.00,14860,2022-03-30 20:52:28.4340
37.00,14906,2022-03-30 20:52:28.4800
37.00,14953,2022-03-30 20:52:28.5270
37.00,15002,2022-03-30 20:52:28.5760
37.00,15038,2022-03-30 20:52:28.6130
37.00,15083,2022-03-30 20:52:28.6580
37.00,15129,2022-03-30 20:52:28.7040
37.00,15178,2022-03-30 20:52:28.7530
37.00,15225,2022-03-30 20:52:28.8000
37.00,15274,2022-03-30 20:52:28.8490
37.00,15326,2022-03-30 20:52:28.9010
37.00,15372,2022-03-30 20:52:28.9460
37.00,15415,2022-03-30 20:52:28.9900
33.00,15463,2022-03-30 20:52:29.0370
33.00,15513,2022-03-30 20:52:29.0870
33.00,15557,2022-03-30 20:52:29.1320
33.00,15606,2022-03-30 20:52:29.1800
33.00,15651,2022-03-30 20:52:29.2250
33.00,15697,2022-03-30 20:52:29.2720
33.00,15748,2022-03-30 20:52:29.3220
33.00,15794,2022-03-30 20:52:29.3690
33.00,15843,2022-03-30 20:52:29.4170
33.00,15890,2022-03-30 20:52:29.4640
33.00,15938,2022-03-30 20:52:29.5130
33.00,15985,2022-03-30 20:52:29.5600
33.00,16030,2022-03-30 20:52:29.6050
33.00,16076,2022-03-30 20:52:29.6500
33.00,16122,2022-03-30 20:52:29.6970
39.00,16171,2022-03-30 20:52:29.7450
39.00,16217,2022-03-30 20:52:29.7920
39.00,16263,2022-03-30 20:52:29.8380
39.00,16312,2022-03-30 20:52:29.8860
39.00,16359,2022-03-30 20:52:29.9330
39.00,16403,2022-03-30 20:52:29.9780
39.00,16449,2022-03-30 20:52:30.0230
39.00,16495,2022-03-30 20:52:30.0700
