LIGHT (lux),Time since start in ms,YYYY-MO-DD HH-MI-SS.SSSS
39.00,95351,2022-03-30 20:53:48.9250
39.00,95398,2022-03-30 20:53:48.9720
39.00,95444,2022-03-30 20:53:49.0190
39.00,95491,2022-03-30 20:53:49.0650
39.00,95536,2022-03-30 20:53:49.1110
39.00,95582,2022-03-30 20:53:49.1560
39.00,95628,2022-03-30 20:53:49.2020
39.00,95676,2022-03-30 20:53:49.2510
39.00,95722,2022-03-30 20:53:49.2970
39.00,95774,2022-03-30 20:53:49.3490
39.00,95804,2022-03-30 20:53:49.3780
39.00,95835,2022-03-30 20:53:49.4090
39.00,95864,2022-03-30 20:53:49.4380
39.00,95894,2022-03-30 20:53:49.4690
39.00,95936,2022-03-30 20:53:49.5100
39.00,95982,2022-03-30 20:53:49.5570
39.00,96031,2022-03-30 20:53:49.6060
41.00,96081,2022-03-30 20:53:49.6560
41.00,96128,2022-03-30 20:53:49.7020
41.00,96178,2022-03-30 20:53:49.7530
41.00,96226,2022-03-30 20:53:49.8010
41.00,96274,2022-03-30 20:53:49.8480
41.00,96326,2022-03-30 20:53:49.9010
41.00,96373,2022-03-30 20:53:49.9470
41.00,96419,2022-03-30 20:53:49.9940
41.00,96469,2022-03-30 20:53:50.0440
41.00,96519,2022-03-30 20:53:50.0940
41.00,96565,2022-03-30 20:53:50.1400
41.00,96612,2022-03-30 20:53:50.1860
41.00,96658,2022-03-30 20:53:50.2320
41.00,96705,2022-03-30 20:53:50.2790
34.00,96754,2022-03-30 20:53:50.3280
34.00,96797,2022-03-30 20:53:50.3710
34.00,96824,2022-03-30 20:53:50.3980
34.00,96860,2022-03-30 20:53:50.4340
34.00,96904,2022-03-30 20:53:50.4790
34.00,96952,2022-03-30 20:53:50.5260
34.00,96999,2022-03-30 20:53:50.5730
34.00,97043,2022-03-30 20:53:50.6170
34.00,97090,2022-03-30 20:53:50.6640
34.00,97136,2022-03-30 20:53:50.7100
34.00,97183,2022-03-30 20:53:50.7570
34.00,97230,2022-03-30 20:53:50.8040
34.00,97278,2022-03-30 20:53:50.8520
34.00,97324,2022-03-30 20:53:50.8990
34.00,97371,2022-03-30 20:53:50.9450
34.00,97417,2022-03-30 20:53:50.9910
36.00,97465,2022-03-30 20:53:51.0390
36.00,97510,2022-03-30 20:53:51.0850
36.00,97554,2022-03-30 20:53:51.1280
36.00,97602,2022-03-30 20:53:51.1770
36.00,97648,2022-03-30 20:53:51.2220
36.00,97694,2022-03-30 20:53:51.2680
36.00,97740,2022-03-30 20:53:51.3150
36.00,97787,2022-03-30 20:53:51.3620
36.00,97836,2022-03-30 20:53:51.4110
36.00,97881,2022-03-30 20:53:51.4560
36.00,97930,2022-03-30 20:53:51.5040
36.00,97977,2022-03-30 20:53:51.5520
36.00,98022,2022-03-30 20:53:51.5960
36.00,98069,2022-03-30 20:53:51.6440
36.00,98116,2022-03-30 20:53:51.6900
45.00,98164,2022-03-30 20:53:51.7380
45.00,98209,2022-03-30 20:53:51.7840
45.00,98257,2022-03-30 20:53:51.8320
45.00,98302,2022-03-30 20:53:51.8760
45.00,98345,2022-03-30 20:53:51.9190
45.00,98392,2022-03-30 20:53:51.9660
45.00,98442,2022-03-30 20:53:52.0160
45.00,98487,2022-03-30 20:53:52.0610
45.00,98533,2022-03-30 20:53:52.1080
45.00,98581,2022-03-30 20:53:52.1550
45.00,98628,2022-03-30 20:53:52.2020
45.00,98675,2022-03-30 20:53:52.2490
45.00,98725,2022-03-30 20:53:52.2990
45.00,98773,2022-03-30 20:53:52.3480
45.00,98819,2022-03-30 20:53:52.3930
33.00,98867,2022-03-30 20:53:52.4420
33.00,98914,2022-03-30 20:53:52.4890
33.00,98961,2022-03-30 20:53:52.5350
33.00,99008,2022-03-30 20:53:52.5830
33.00,99055,2022-03-30 20:53:52.6290
33.00,99102,2022-03-30 20:53:52.6770
33.00,99148,2022-03-30 20:53:52.7220
33.00,99197,2022-03-30 20:53:52.7720
33.00,99248,2022-03-30 20:53:52.8220
33.00,99294,2022-03-30 20:53:52.8680
33.00,99325,2022-03-30 20:53:52.9000
33.00,99354,2022-03-30 20:53:52.9290
33.00,99389,2022-03-30 20:53:52.9640
33.00,99441,2022-03-30 20:53:53.0160
33.00,99489,2022-03-30 20:53:53.0630
33.00,99535,2022-03-30 20:53:53.1090
33.00,99583,2022-03-30 20:53:53.1570
33.00,99629,2022-03-30 20:53:53.2040
33.00,99674,2022-03-30 20:53:53.2480
33.00,99719,2022-03-30 20:53:53.2930
33.00,99758,2022-03-30 20:53:53.3320
33.00,99787,2022-03-30 20:53:53.3620
33.00,99819,2022-03-30 20:53:53.3930
33.00,99851,2022-03-30 20:53:53.4250
33.00,99894,2022-03-30 20:53:53.4690
33.00,99941,2022-03-30 20:53:53.5160
33.00,99989,2022-03-30 20:53:53.5640
33.00,100035,2022-03-30 20:53:53.6100
33.00,100080,2022-03-30 20:53:53.6550
33.00,100130,2022-03-30 20:53:53.7040
33.00,100177,2022-03-30 20:53:53.7520
33.00,100223,2022-03-30 20:53:53.7970
45.00,100272,2022-03-30 20:53:53.8470
45.00,100318,2022-03-30 20:53:53.8920
45.00,100361,2022-03-30 20:53:53.9360
45.00,100408,2022-03-30 20:53:53.9820
45.00,100454,2022-03-30 20:53:54.0290
45.00,100502,2022-03-30 20:53:54.0760
45.00,100552,2022-03-30 20:53:54.1270
45.00,100601,2022-03-30 20:53:54.1750
45.00,100648,2022-03-30 20:53:54.2220
45.00,100696,2022-03-30 20:53:54.2710
45.00,100740,2022-03-30 20:53:54.3150
45.00,100788,2022-03-30 20:53:54.3620
45.00,100833,2022-03-30 20:53:54.4070
45.00,100877,2022-03-30 20:53:54.4520
45.00,100927,2022-03-30 20:53:54.5010
36.00,100976,2022-03-30 20:53:54.5510
36.00,101024,2022-03-30 20:53:54.5980
36.00,101072,2022-03-30 20:53:54.6470
36.00,101118,2022-03-30 20:53:54.6930
36.00,101166,2022-03-30 20:53:54.7400
36.00,101211,2022-03-30 20:53:54.7860
36.00,101260,2022-03-30 20:53:54.8340
36.00,101306,2022-03-30 20:53:54.8810
36.00,101350,2022-03-30 20:53:54.9250
36.00,101384,2022-03-30 20:53:54.9590
36.00,101415,2022-03-30 20:53:54.9890
36.00,101446,2022-03-30 20:53:55.0200
36.00,101477,2022-03-30 20:53:55.0520
36.00,101506,2022-03-30 20:53:55.0810
36.00,101541,2022-03-30 20:53:55.1160
36.00,101588,2022-03-30 20:53:55.1630
36.00,101636,2022-03-30 20:53:55.2110
33.00,101683,2022-03-30 20:53:55.2580
33.00,101729,2022-03-30 20:53:55.3030
33.00,101774,2022-03-30 20:53:55.3480
33.00,101821,2022-03-30 20:53:55.3950
33.00,101865,2022-03-30 20:53:55.4400
33.00,101912,2022-03-30 20:53:55.4870
33.00,101956,2022-03-30 20:53:55.5310
33.00,102002,2022-03-30 20:53:55.5760
33.00,102047,2022-03-30 20:53:55.6210
33.00,102097,2022-03-30 20:53:55.6710
33.00,102143,2022-03-30 20:53:55.7180
33.00,102190,2022-03-30 20:53:55.7650
33.00,102237,2022-03-30 20:53:55.8120
33.00,102283,2022-03-30 20:53:55.8580
33.00,102329,2022-03-30 20:53:55.9040
41.00,102377,2022-03-30 20:53:55.9510
41.00,102412,2022-03-30 20:53:55.9860
41.00,102441,2022-03-30 20:53:56.0160
41.00,102477,2022-03-30 20:53:56.0520
41.00,102525,2022-03-30 20:53:56.1000
41.00,102573,2022-03-30 20:53:56.1480
41.00,102620,2022-03-30 20:53:56.1940
41.00,102671,2022-03-30 20:53:56.2450
41.00,102717,2022-03-30 20:53:56.2920
41.00,102763,2022-03-30 20:53:56.3370
41.00,102814,2022-03-30 20:53:56.3880
41.00,102860,2022-03-30 20:53:56.4340
41.00,102905,2022-03-30 20:53:56.4790
41.00,102951,2022-03-30 20:53:56.5250
41.00,102999,2022-03-30 20:53:56.5740
41.00,103044,2022-03-30 20:53:56.6180
39.00,103095,2022-03-30 20:53:56.6700
39.00,103142,2022-03-30 20:53:56.7170
39.00,103189,2022-03-30 20:53:56.7640
39.00,103233,2022-03-30 20:53:56.8080
39.00,103283,2022-03-30 20:53:56.8570
39.00,103330,2022-03-30 20:53:56.9050
39.00,103376,2022-03-30 20:53:56.9510
39.00,103423,2022-03-30 20:53:56.9980
39.00,103471,2022-03-30 20:53:57.0450
39.00,103519,2022-03-30 20:53:57.0930
39.00,103566,2022-03-30 20:53:57.1400
39.00,103614,2022-03-30 20:53:57.1880
39.00,103661,2022-03-30 20:53:57.2350
39.00,103707,2022-03-30 20:53:57.2810
39.00,103753,2022-03-30 20:53:57.3270
33.00,103810,2022-03-30 20:53:57.3850
33.00,103852,2022-03-30 20:53:57.4260
33.00,103900,2022-03-30 20:53:57.4750
33.00,103947,2022-03-30 20:53:57.5220
33.00,103994,2022-03-30 20:53:57.5690
33.00,104039,2022-03-30 20:53:57.6130
33.00,104082,2022-03-30 20:53:57.6560
33.00,104130,2022-03-30 20:53:57.7050
33.00,104180,2022-03-30 20:53:57.7540
33.00,104235,2022-03-30 20:53:57.8100
33.00,104288,2022-03-30 20:53:57.8620
33.00,104335,2022-03-30 20:53:57.9090
33.00,104381,2022-03-30 20:53:57.9560
33.00,104430,2022-03-30 20:53:58.0040
38.00,104478,2022-03-30 20:53:58.0520
38.00,104526,2022-03-30 20:53:58.1010
38.00,104575,2022-03-30 20:53:58.1500
38.00,104632,2022-03-30 20:53:58.2070
38.00,104677,2022-03-30 20:53:58.2520
38.00,104724,2022-03-30 20:53:58.2980
38.00,104771,2022-03-30 20:53:58.3450
38.00,104806,2022-03-30 20:53:58.3810
38.00,104857,2022-03-30 20:53:58.4320
38.00,104894,2022-03-30 20:53:58.4690
38.00,104954,2022-03-30 20:53:58.5280
38.00,105001,2022-03-30 20:53:58.5760
38.00,105047,2022-03-30 20:53:58.6210
38.00,105095,2022-03-30 20:53:58.6690
38.00,105139,2022-03-30 20:53:58.7140
42.00,105188,2022-03-30 20:53:58.7620
42.00,105235,2022-03-30 20:53:58.8100
42.00,105280,2022-03-30 20:53:58.8540
42.00,105324,2022-03-30 20:53:58.8990
42.00,105369,2022-03-30 20:53:58.9440
42.00,105416,2022-03-30 20:53:58.9910
42.00,105462,2022-03-30 20:53:59.0360
42.00,105510,2022-03-30 20:53:59.0840
42.00,105555,2022-03-30 20:53:59.1290
42.00,105586,2022-03-30 20:53:59.1610
42.00,105618,2022-03-30 20:53:59.1930
42.00,105671,2022-03-30 20:53:59.2460
42.00,105721,2022-03-30 20:53:59.2950
42.00,105769,2022-03-30 20:53:59.3440
42.00,105815,2022-03-30 20:53:59.3890
42.00,105860,2022-03-30 20:53:59.4350
33.00,105905,2022-03-30 20:53:59.4790
33.00,105950,2022-03-30 20:53:59.5250
33.00,105999,2022-03-30 20:53:59.5730
33.00,106044,2022-03-30 20:53:59.6180
33.00,106090,2022-03-30 20:53:59.6650
33.00,106132,2022-03-30 20:53:59.7060
33.00,106180,2022-03-30 20:53:59.7540
33.00,106226,2022-03-30 20:53:59.8000
33.00,106278,2022-03-30 20:53:59.8530
33.00,106326,2022-03-30 20:53:59.9010
33.00,106371,2022-03-30 20:53:59.9460
33.00,106409,2022-03-30 20:53:59.9830
33.00,106444,2022-03-30 20:54:00.0190
33.00,106491,2022-03-30 20:54:00.0660
33.00,106532,2022-03-30 20:54:00.1060
35.00,106560,2022-03-30 20:54:00.1340
35.00,106589,2022-03-30 20:54:00.1640
35.00,106618,2022-03-30 20:54:00.1920
35.00,106645,2022-03-30 20:54:00.2190
35.00,106690,2022-03-30 20:54:00.2640
35.00,106739,2022-03-30 20:54:00.3140
35.00,106789,2022-03-30 20:54:00.3640
35.00,106836,2022-03-30 20:54:00.4110
35.00,106883,2022-03-30 20:54:00.4570
35.00,106929,2022-03-30 20:54:00.5040
35.00,106978,2022-03-30 20:54:00.5530
35.00,107025,2022-03-30 20:54:00.5990
35.00,107074,2022-03-30 20:54:00.6480
35.00,107130,2022-03-30 20:54:00.7040
35.00,107172,2022-03-30 20:54:00.7470
35.00,107220,2022-03-30 20:54:00.7940
45.00,107269,2022-03-30 20:54:00.8440
45.00,107314,2022-03-30 20:54:00.8880
45.00,107357,2022-03-30 20:54:00.9320
45.00,107403,2022-03-30 20:54:00.9770
45.00,107450,2022-03-30 20:54:01.0240
45.00,107495,2022-03-30 20:54:01.0690
45.00,107541,2022-03-30 20:54:01.1150
45.00,107588,2022-03-30 20:54:01.1630
45.00,107636,2022-03-30 20:54:01.2100
45.00,107685,2022-03-30 20:54:01.2590
45.00,107731,2022-03-30 20:54:01.3060
45.00,107778,2022-03-30 20:54:01.3530
45.00,107824,2022-03-30 20:54:01.3980
45.00,107870,2022-03-30 20:54:01.4450
45.00,107915,2022-03-30 20:54:01.4890
45.00,107962,2022-03-30 20:54:01.5370
33.00,108006,2022-03-30 20:54:01.5800
33.00,108050,2022-03-30 20:54:01.6250
33.00,108078,2022-03-30 20:54:01.6530
33.00,108110,2022-03-30 20:54:01.6840
33.00,108137,2022-03-30 20:54:01.7120
33.00,108181,2022-03-30 20:54:01.7560
33.00,108217,2022-03-30 20:54:01.7920
33.00,108265,2022-03-30 20:54:01.8400
33.00,108297,2022-03-30 20:54:01.8710
33.00,108328,2022-03-30 20:54:01.9030
33.00,108366,2022-03-30 20:54:01.9400
33.00,108404,2022-03-30 20:54:01.9790
33.00,108449,2022-03-30 20:54:02.0240
33.00,108496,2022-03-30 20:54:02.0710
33.00,108542,2022-03-30 20:54:02.1160
33.00,108590,2022-03-30 20:54:02.1640
33.00,108636,2022-03-30 20:54:02.2110
33.00,108683,2022-03-30 20:54:02.2570
33.00,108718,2022-03-30 20:54:02.2930
33.00,108760,2022-03-30 20:54:02.3350
33.00,108810,2022-03-30 20:54:02.3850
33.00,108857,2022-03-30 20:54:02.4320
33.00,108904,2022-03-30 20:54:02.4790
33.00,108951,2022-03-30 20:54:02.5250
33.00,108999,2022-03-30 20:54:02.5730
33.00,109044,2022-03-30 20:54:02.6190
33.00,109105,2022-03-30 20:54:02.6790
33.00,109151,2022-03-30 20:54:02.7260
33.00,109198,2022-03-30 20:54:02.7730
33.00,109243,2022-03-30 20:54:02.8180
33.00,109288,2022-03-30 20:54:02.8630
33.00,109337,2022-03-30 20:54:02.9110
43.00,109385,2022-03-30 20:54:02.9600
43.00,109435,2022-03-30 20:54:03.0090
43.00,109486,2022-03-30 20:54:03.0600
43.00,109526,2022-03-30 20:54:03.1000
43.00,109562,2022-03-30 20:54:03.1360
43.00,109598,2022-03-30 20:54:03.1730
43.00,109635,2022-03-30 20:54:03.2100
43.00,109684,2022-03-30 20:54:03.2580
43.00,109719,2022-03-30 20:54:03.2930
43.00,109771,2022-03-30 20:54:03.3450
43.00,109821,2022-03-30 20:54:03.3950
43.00,109867,2022-03-30 20:54:03.4410
43.00,109913,2022-03-30 20:54:03.4880
43.00,109959,2022-03-30 20:54:03.5330
43.00,110005,2022-03-30 20:54:03.5800
43.00,110050,2022-03-30 20:54:03.6250
37.00,110114,2022-03-30 20:54:03.6880
37.00,110161,2022-03-30 20:54:03.7360
37.00,110208,2022-03-30 20:54:03.7820
37.00,110255,2022-03-30 20:54:03.8290
37.00,110302,2022-03-30 20:54:03.8760
37.00,110349,2022-03-30 20:54:03.9230
37.00,110394,2022-03-30 20:54:03.9680
37.00,110440,2022-03-30 20:54:04.0150
37.00,110491,2022-03-30 20:54:04.0660
37.00,110535,2022-03-30 20:54:04.1100
37.00,110582,2022-03-30 20:54:04.1570
37.00,110631,2022-03-30 20:54:04.2050
37.00,110679,2022-03-30 20:54:04.2530
37.00,110725,2022-03-30 20:54:04.2990
34.00,110774,2022-03-30 20:54:04.3490
34.00,110822,2022-03-30 20:54:04.3970
34.00,110869,2022-03-30 20:54:04.4430
34.00,110916,2022-03-30 20:54:04.4900
34.00,110962,2022-03-30 20:54:04.5370
34.00,111008,2022-03-30 20:54:04.5830
34.00,111054,2022-03-30 20:54:04.6290
34.00,111101,2022-03-30 20:54:04.6760
34.00,111152,2022-03-30 20:54:04.7270
34.00,111200,2022-03-30 20:54:04.7740
34.00,111246,2022-03-30 20:54:04.8210
34.00,111292,2022-03-30 20:54:04.8670
34.00,111338,2022-03-30 20:54:04.9130
34.00,111382,2022-03-30 20:54:04.9570
34.00,111430,2022-03-30 20:54:05.0040
41.00,111479,2022-03-30 20:54:05.0530
41.00,111526,2022-03-30 20:54:05.1010
41.00,111574,2022-03-30 20:54:05.1490
41.00,111621,2022-03-30 20:54:05.1950
41.00,111669,2022-03-30 20:54:05.2430
41.00,111714,2022-03-30 20:54:05.2880
41.00,111760,2022-03-30 20:54:05.3350
41.00,111805,2022-03-30 20:54:05.3800
41.00,111854,2022-03-30 20:54:05.4280
41.00,111902,2022-03-30 20:54:05.4770
41.00,111966,2022-03-30 20:54:05.5410
41.00,112013,2022-03-30 20:54:05.5880
41.00,112058,2022-03-30 20:54:05.6330
41.00,112108,2022-03-30 20:54:05.6830
41.00,112153,2022-03-30 20:54:05.7280
39.00,112199,2022-03-30 20:54:05.7740
39.00,112248,2022-03-30 20:54:05.8220
39.00,112297,2022-03-30 20:54:05.8720
39.00,112343,2022-03-30 20:54:05.9180
39.00,112388,2022-03-30 20:54:05.9630
39.00,112436,2022-03-30 20:54:06.0110
39.00,112482,2022-03-30 20:54:06.0570
39.00,112528,2022-03-30 20:54:06.1030
39.00,112577,2022-03-30 20:54:06.1510
39.00,112623,2022-03-30 20:54:06.1980
39.00,112673,2022-03-30 20:54:06.2480
39.00,112717,2022-03-30 20:54:06.2910
39.00,112766,2022-03-30 20:54:06.3410
39.00,112812,2022-03-30 20:54:06.3860
39.00,112857,2022-03-30 20:54:06.4320
33.00,112905,2022-03-30 20:54:06.4790
33.00,112953,2022-03-30 20:54:06.5280
33.00,112999,2022-03-30 20:54:06.5740
33.00,113045,2022-03-30 20:54:06.6200
33.00,113091,2022-03-30 20:54:06.6650
33.00,113135,2022-03-30 20:54:06.7090
33.00,113183,2022-03-30 20:54:06.7580
33.00,113230,2022-03-30 20:54:06.8050
33.00,113277,2022-03-30 20:54:06.8510
33.00,113327,2022-03-30 20:54:06.9020
33.00,113373,2022-03-30 20:54:06.9480
33.00,113422,2022-03-30 20:54:06.9960
33.00,113467,2022-03-30 20:54:07.0410
33.00,113498,2022-03-30 20:54:07.0720
33.00,113528,2022-03-30 20:54:07.1020
33.00,113553,2022-03-30 20:54:07.1280
37.00,113595,2022-03-30 20:54:07.1690
37.00,113638,2022-03-30 20:54:07.2130
37.00,113684,2022-03-30 20:54:07.2590
37.00,113730,2022-03-30 20:54:07.3050
37.00,113772,2022-03-30 20:54:07.3460
37.00,113820,2022-03-30 20:54:07.3950
37.00,113865,2022-03-30 20:54:07.4400
37.00,113908,2022-03-30 20:54:07.4820
37.00,113957,2022-03-30 20:54:07.5320
37.00,114003,2022-03-30 20:54:07.5770
37.00,114049,2022-03-30 20:54:07.6240
37.00,114095,2022-03-30 20:54:07.6700
37.00,114140,2022-03-30 20:54:07.7150
37.00,114187,2022-03-30 20:54:07.7610
37.00,114231,2022-03-30 20:54:07.8050
43.00,114276,2022-03-30 20:54:07.8500
43.00,114322,2022-03-30 20:54:07.8960
43.00,114357,2022-03-30 20:54:07.9310
43.00,114402,2022-03-30 20:54:07.9770
43.00,114447,2022-03-30 20:54:08.0210
43.00,114490,2022-03-30 20:54:08.0650
43.00,114537,2022-03-30 20:54:08.1110
43.00,114584,2022-03-30 20:54:08.1580
43.00,114627,2022-03-30 20:54:08.2020
43.00,114673,2022-03-30 20:54:08.2480
43.00,114709,2022-03-30 20:54:08.2840
43.00,114754,2022-03-30 20:54:08.3290
43.00,114802,2022-03-30 20:54:08.3760
43.00,114849,2022-03-30 20:54:08.4240
43.00,114897,2022-03-30 20:54:08.4720
43.00,114947,2022-03-30 20:54:08.5210
33.00,114997,2022-03-30 20:54:08.5720
33.00,115044,2022-03-30 20:54:08.6190
33.00,115089,2022-03-30 20:54:08.6640
33.00,115135,2022-03-30 20:54:08.7090
33.00,115184,2022-03-30 20:54:08.7580
33.00,115231,2022-03-30 20:54:08.8060
33.00,115278,2022-03-30 20:54:08.8520
33.00,115324,2022-03-30 20:54:08.8990
33.00,115371,2022-03-30 20:54:08.9460
33.00,115419,2022-03-30 20:54:08.9940
33.00,115468,2022-03-30 20:54:09.0420
33.00,115517,2022-03-30 20:54:09.0910
33.00,115562,2022-03-30 20:54:09.1370
33.00,115608,2022-03-30 20:54:09.1820
33.00,115656,2022-03-30 20:54:09.2300
34.00,115703,2022-03-30 20:54:09.2780
34.00,115752,2022-03-30 20:54:09.3260
34.00,115800,2022-03-30 20:54:09.3740
34.00,115847,2022-03-30 20:54:09.4220
34.00,115894,2022-03-30 20:54:09.4690
34.00,115941,2022-03-30 20:54:09.5150
34.00,115977,2022-03-30 20:54:09.5510
34.00,116025,2022-03-30 20:54:09.5990
34.00,116071,2022-03-30 20:54:09.6460
34.00,116119,2022-03-30 20:54:09.6940
34.00,116167,2022-03-30 20:54:09.7410
34.00,116211,2022-03-30 20:54:09.7860
34.00,116257,2022-03-30 20:54:09.8310
34.00,116302,2022-03-30 20:54:09.8760
34.00,116346,2022-03-30 20:54:09.9210
45.00,116394,2022-03-30 20:54:09.9690
45.00,116441,2022-03-30 20:54:10.0160
45.00,116486,2022-03-30 20:54:10.0600
45.00,116532,2022-03-30 20:54:10.1060
45.00,116578,2022-03-30 20:54:10.1520
45.00,116621,2022-03-30 20:54:10.1960
45.00,116672,2022-03-30 20:54:10.2460
45.00,116717,2022-03-30 20:54:10.2910
45.00,116757,2022-03-30 20:54:10.3310
45.00,116807,2022-03-30 20:54:10.3820
45.00,116854,2022-03-30 20:54:10.4280
45.00,116902,2022-03-30 20:54:10.4760
45.00,116947,2022-03-30 20:54:10.5220
45.00,116995,2022-03-30 20:54:10.5700
45.00,117041,2022-03-30 20:54:10.6150
34.00,117075,2022-03-30 20:54:10.6490
34.00,117103,2022-03-30 20:54:10.6780
34.00,117146,2022-03-30 20:54:10.7200
34.00,117194,2022-03-30 20:54:10.7690
34.00,117243,2022-03-30 20:54:10.8180
34.00,117294,2022-03-30 20:54:10.8690
34.00,117342,2022-03-30 20:54:10.9160
34.00,117386,2022-03-30 20:54:10.9610
34.00,117431,2022-03-30 20:54:11.0060
34.00,117478,2022-03-30 20:54:11.0520
34.00,117515,2022-03-30 20:54:11.0900
34.00,117560,2022-03-30 20:54:11.1350
34.00,117618,2022-03-30 20:54:11.1930
34.00,117671,2022-03-30 20:54:11.2450
34.00,117718,2022-03-30 20:54:11.2920
34.00,117749,2022-03-30 20:54:11.3230
33.00,117778,2022-03-30 20:54:11.3520
33.00,117813,2022-03-30 20:54:11.3880
33.00,117859,2022-03-30 20:54:11.4330
33.00,117906,2022-03-30 20:54:11.4800
33.00,117954,2022-03-30 20:54:11.5280
33.00,118002,2022-03-30 20:54:11.5770
33.00,118048,2022-03-30 20:54:11.6220
33.00,118093,2022-03-30 20:54:11.6670
33.00,118138,2022-03-30 20:54:11.7130
33.00,118184,2022-03-30 20:54:11.7580
33.00,118215,2022-03-30 20:54:11.7890
33.00,118251,2022-03-30 20:54:11.8260
33.00,118297,2022-03-30 20:54:11.8720
33.00,118344,2022-03-30 20:54:11.9190
33.00,118389,2022-03-30 20:54:11.9640
33.00,118435,2022-03-30 20:54:12.0090
42.00,118481,2022-03-30 20:54:12.0560
42.00,118523,2022-03-30 20:54:12.0970
42.00,118564,2022-03-30 20:54:12.1390
42.00,118623,2022-03-30 20:54:12.1970
42.00,118669,2022-03-30 20:54:12.2440
42.00,118713,2022-03-30 20:54:12.2880
42.00,118758,2022-03-30 20:54:12.3320
42.00,118805,2022-03-30 20:54:12.3800
42.00,118851,2022-03-30 20:54:12.4250
42.00,118896,2022-03-30 20:54:12.4710
42.00,118943,2022-03-30 20:54:12.5170
42.00,118989,2022-03-30 20:54:12.5640
42.00,119036,2022-03-30 20:54:12.6100
42.00,119081,2022-03-30 20:54:12.6560
42.00,119128,2022-03-30 20:54:12.7030
42.00,119175,2022-03-30 20:54:12.7500
36.00,119223,2022-03-30 20:54:12.7980
36.00,119271,2022-03-30 20:54:12.8460
36.00,119307,2022-03-30 20:54:12.8820
36.00,119358,2022-03-30 20:54:12.9320
36.00,119405,2022-03-30 20:54:12.9800
36.00,119454,2022-03-30 20:54:13.0280
36.00,119500,2022-03-30 20:54:13.0750
36.00,119547,2022-03-30 20:54:13.1220
36.00,119597,2022-03-30 20:54:13.1710
36.00,119645,2022-03-30 20:54:13.2190
36.00,119691,2022-03-30 20:54:13.2660
36.00,119735,2022-03-30 20:54:13.3100
36.00,119780,2022-03-30 20:54:13.3550
36.00,119829,2022-03-30 20:54:13.4030
36.00,119877,2022-03-30 20:54:13.4510
33.00,119914,2022-03-30 20:54:13.4890
33.00,119944,2022-03-30 20:54:13.5180
33.00,119975,2022-03-30 20:54:13.5500
33.00,120004,2022-03-30 20:54:13.5780
33.00,120033,2022-03-30 20:54:13.6080
33.00,120064,2022-03-30 20:54:13.6390
33.00,120111,2022-03-30 20:54:13.6850
33.00,120158,2022-03-30 20:54:13.7330
33.00,120203,2022-03-30 20:54:13.7770
33.00,120251,2022-03-30 20:54:13.8250
33.00,120299,2022-03-30 20:54:13.8740
33.00,120347,2022-03-30 20:54:13.9210
33.00,120393,2022-03-30 20:54:13.9670
33.00,120446,2022-03-30 20:54:14.0210
33.00,120494,2022-03-30 20:54:14.0680
33.00,120538,2022-03-30 20:54:14.1130
41.00,120586,2022-03-30 20:54:14.1610
41.00,120634,2022-03-30 20:54:14.2090
41.00,120684,2022-03-30 20:54:14.2580
41.00,120722,2022-03-30 20:54:14.2960
41.00,120755,2022-03-30 20:54:14.3300
41.00,120784,2022-03-30 20:54:14.3580
41.00,120821,2022-03-30 20:54:14.3960
41.00,120867,2022-03-30 20:54:14.4410
41.00,120914,2022-03-30 20:54:14.4880
41.00,120960,2022-03-30 20:54:14.5350
41.00,121010,2022-03-30 20:54:14.5840
41.00,121053,2022-03-30 20:54:14.6280
41.00,121099,2022-03-30 20:54:14.6730
41.00,121143,2022-03-30 20:54:14.7170
41.00,121189,2022-03-30 20:54:14.7630
41.00,121239,2022-03-30 20:54:14.8130
40.00,121285,2022-03-30 20:54:14.8600
40.00,121330,2022-03-30 20:54:14.9050
40.00,121374,2022-03-30 20:54:14.9480
40.00,121422,2022-03-30 20:54:14.9970
40.00,121470,2022-03-30 20:54:15.0450
40.00,121517,2022-03-30 20:54:15.0920
40.00,121563,2022-03-30 20:54:15.1380
40.00,121608,2022-03-30 20:54:15.1830
40.00,121657,2022-03-30 20:54:15.2310
40.00,121704,2022-03-30 20:54:15.2780
40.00,121751,2022-03-30 20:54:15.3260
40.00,121796,2022-03-30 20:54:15.3700
40.00,121843,2022-03-30 20:54:15.4180
40.00,121889,2022-03-30 20:54:15.4630
40.00,121935,2022-03-30 20:54:15.5090
40.00,121986,2022-03-30 20:54:15.5600
33.00,122032,2022-03-30 20:54:15.6060
33.00,122080,2022-03-30 20:54:15.6540
33.00,122125,2022-03-30 20:54:15.6990
33.00,122173,2022-03-30 20:54:15.7480
33.00,122218,2022-03-30 20:54:15.7920
33.00,122264,2022-03-30 20:54:15.8390
33.00,122308,2022-03-30 20:54:15.8830
33.00,122356,2022-03-30 20:54:15.9300
33.00,122405,2022-03-30 20:54:15.9790
33.00,122452,2022-03-30 20:54:16.0270
33.00,122498,2022-03-30 20:54:16.0730
33.00,122546,2022-03-30 20:54:16.1200
33.00,122595,2022-03-30 20:54:16.1690
33.00,122641,2022-03-30 20:54:16.2160
37.00,122703,2022-03-30 20:54:16.2780
37.00,122749,2022-03-30 20:54:16.3240
37.00,122793,2022-03-30 20:54:16.3680
