LIGHT (lux),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0,7213,2020-09-30 12:02:58:180
0.0,7263,2020-09-30 12:02:58:230
0.0,7314,2020-09-30 12:02:58:281
0.0,7364,2020-09-30 12:02:58:331
0.0,7414,2020-09-30 12:02:58:381
0.0,7463,2020-09-30 12:02:58:430
0.0,7514,2020-09-30 12:02:58:481
0.0,7563,2020-09-30 12:02:58:530
0.0,7613,2020-09-30 12:02:58:580
4.0,7665,2020-09-30 12:02:58:632
7.0,7713,2020-09-30 12:02:58:680
7.0,7764,2020-09-30 12:02:58:731
7.0,7814,2020-09-30 12:02:58:781
7.0,7864,2020-09-30 12:02:58:831
7.0,7913,2020-09-30 12:02:58:880
7.0,7964,2020-09-30 12:02:58:931
3.0,8014,2020-09-30 12:02:58:981
0.0,8065,2020-09-30 12:02:59:032
0.0,8113,2020-09-30 12:02:59:080
4.0,8164,2020-09-30 12:02:59:131
4.0,8214,2020-09-30 12:02:59:181
4.0,8263,2020-09-30 12:02:59:230
4.0,8313,2020-09-30 12:02:59:280
4.0,8364,2020-09-30 12:02:59:331
4.0,8414,2020-09-30 12:02:59:381
4.0,8464,2020-09-30 12:02:59:431
4.0,8513,2020-09-30 12:02:59:480
0.0,8564,2020-09-30 12:02:59:531
0.0,8613,2020-09-30 12:02:59:580
0.0,8664,2020-09-30 12:02:59:631
7.0,8714,2020-09-30 12:02:59:681
7.0,8764,2020-09-30 12:02:59:731
7.0,8814,2020-09-30 12:02:59:781
7.0,8864,2020-09-30 12:02:59:831
7.0,8913,2020-09-30 12:02:59:880
7.0,8964,2020-09-30 12:02:59:931
0.0,9014,2020-09-30 12:02:59:981
0.0,9064,2020-09-30 12:03:00:031
0.0,9113,2020-09-30 12:03:00:080
0.0,9164,2020-09-30 12:03:00:131
4.0,9214,2020-09-30 12:03:00:181
4.0,9263,2020-09-30 12:03:00:230
4.0,9313,2020-09-30 12:03:00:280
4.0,9364,2020-09-30 12:03:00:331
4.0,9413,2020-09-30 12:03:00:380
4.0,9464,2020-09-30 12:03:00:431
0.0,9514,2020-09-30 12:03:00:481
0.0,9563,2020-09-30 12:03:00:530
0.0,9613,2020-09-30 12:03:00:580
0.0,9663,2020-09-30 12:03:00:630
6.0,9714,2020-09-30 12:03:00:681
6.0,9764,2020-09-30 12:03:00:731
6.0,9814,2020-09-30 12:03:00:781
6.0,9863,2020-09-30 12:03:00:830
6.0,9913,2020-09-30 12:03:00:880
6.0,9964,2020-09-30 12:03:00:931
6.0,10014,2020-09-30 12:03:00:981
0.0,10064,2020-09-30 12:03:01:031
0.0,10114,2020-09-30 12:03:01:081
0.0,10164,2020-09-30 12:03:01:131
3.0,10213,2020-09-30 12:03:01:180
3.0,10263,2020-09-30 12:03:01:230
4.0,10314,2020-09-30 12:03:01:281
4.0,10363,2020-09-30 12:03:01:330
4.0,10414,2020-09-30 12:03:01:381
3.0,10464,2020-09-30 12:03:01:431
3.0,10514,2020-09-30 12:03:01:481
0.0,10566,2020-09-30 12:03:01:533
0.0,10614,2020-09-30 12:03:01:581
4.0,10663,2020-09-30 12:03:01:630
4.0,10713,2020-09-30 12:03:01:680
6.0,10764,2020-09-30 12:03:01:731
6.0,10814,2020-09-30 12:03:01:781
6.0,10863,2020-09-30 12:03:01:830
6.0,10914,2020-09-30 12:03:01:881
6.0,10964,2020-09-30 12:03:01:931
0.0,11013,2020-09-30 12:03:01:980
0.0,11064,2020-09-30 12:03:02:031
0.0,11114,2020-09-30 12:03:02:081
3.0,11163,2020-09-30 12:03:02:130
6.0,11213,2020-09-30 12:03:02:180
6.0,11264,2020-09-30 12:03:02:231
6.0,11314,2020-09-30 12:03:02:281
6.0,11363,2020-09-30 12:03:02:330
6.0,11414,2020-09-30 12:03:02:381
6.0,11464,2020-09-30 12:03:02:431
3.0,11514,2020-09-30 12:03:02:481
0.0,11564,2020-09-30 12:03:02:531
0.0,11615,2020-09-30 12:03:02:582
0.0,11663,2020-09-30 12:03:02:630
6.0,11713,2020-09-30 12:03:02:680
6.0,11763,2020-09-30 12:03:02:730
6.0,11814,2020-09-30 12:03:02:781
6.0,11864,2020-09-30 12:03:02:831
6.0,11913,2020-09-30 12:03:02:880
6.0,11963,2020-09-30 12:03:02:930
0.0,12013,2020-09-30 12:03:02:980
0.0,12063,2020-09-30 12:03:03:030
0.0,12113,2020-09-30 12:03:03:080
3.0,12164,2020-09-30 12:03:03:131
4.0,12214,2020-09-30 12:03:03:181
4.0,12263,2020-09-30 12:03:03:230
4.0,12313,2020-09-30 12:03:03:280
4.0,12364,2020-09-30 12:03:03:331
4.0,12413,2020-09-30 12:03:03:380
4.0,12464,2020-09-30 12:03:03:431
3.0,12513,2020-09-30 12:03:03:480
0.0,12564,2020-09-30 12:03:03:531
0.0,12613,2020-09-30 12:03:03:580
0.0,12664,2020-09-30 12:03:03:631
6.0,12714,2020-09-30 12:03:03:681
6.0,12764,2020-09-30 12:03:03:731
6.0,12813,2020-09-30 12:03:03:780
6.0,12864,2020-09-30 12:03:03:831
6.0,12914,2020-09-30 12:03:03:881
6.0,12964,2020-09-30 12:03:03:931
6.0,13014,2020-09-30 12:03:03:981
0.0,13063,2020-09-30 12:03:04:030
0.0,13113,2020-09-30 12:03:04:080
3.0,13164,2020-09-30 12:03:04:131
3.0,13214,2020-09-30 12:03:04:181
4.0,13264,2020-09-30 12:03:04:231
4.0,13314,2020-09-30 12:03:04:281
4.0,13363,2020-09-30 12:03:04:330
4.0,13413,2020-09-30 12:03:04:380
4.0,13464,2020-09-30 12:03:04:431
0.0,13514,2020-09-30 12:03:04:481
0.0,13563,2020-09-30 12:03:04:530
0.0,13614,2020-09-30 12:03:04:581
6.0,13664,2020-09-30 12:03:04:631
6.0,13713,2020-09-30 12:03:04:680
6.0,13764,2020-09-30 12:03:04:731
6.0,13814,2020-09-30 12:03:04:781
6.0,13863,2020-09-30 12:03:04:830
6.0,13914,2020-09-30 12:03:04:881
6.0,13964,2020-09-30 12:03:04:931
0.0,14014,2020-09-30 12:03:04:981
0.0,14064,2020-09-30 12:03:05:031
0.0,14114,2020-09-30 12:03:05:081
4.0,14163,2020-09-30 12:03:05:130
6.0,14214,2020-09-30 12:03:05:181
6.0,14264,2020-09-30 12:03:05:231
6.0,14313,2020-09-30 12:03:05:280
6.0,14364,2020-09-30 12:03:05:331
6.0,14413,2020-09-30 12:03:05:380
