LIGHT (lux),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0,7228,2021-01-07 16:54:11:484
0.0,7277,2021-01-07 16:54:11:533
0.0,7328,2021-01-07 16:54:11:584
0.0,7378,2021-01-07 16:54:11:634
0.0,7427,2021-01-07 16:54:11:683
0.0,7477,2021-01-07 16:54:11:733
0.0,7528,2021-01-07 16:54:11:784
0.0,7578,2021-01-07 16:54:11:834
0.0,7628,2021-01-07 16:54:11:884
0.0,7678,2021-01-07 16:54:11:934
0.0,7727,2021-01-07 16:54:11:983
0.0,7778,2021-01-07 16:54:12:034
0.0,7827,2021-01-07 16:54:12:083
0.0,7878,2021-01-07 16:54:12:134
0.0,7928,2021-01-07 16:54:12:184
0.0,7978,2021-01-07 16:54:12:234
0.0,8028,2021-01-07 16:54:12:284
0.0,8078,2021-01-07 16:54:12:334
0.0,8128,2021-01-07 16:54:12:384
0.0,8178,2021-01-07 16:54:12:434
0.0,8228,2021-01-07 16:54:12:484
0.0,8278,2021-01-07 16:54:12:534
0.0,8328,2021-01-07 16:54:12:584
0.0,8378,2021-01-07 16:54:12:634
0.0,8428,2021-01-07 16:54:12:684
0.0,8480,2021-01-07 16:54:12:736
0.0,8528,2021-01-07 16:54:12:784
0.0,8578,2021-01-07 16:54:12:834
0.0,8627,2021-01-07 16:54:12:883
0.0,8678,2021-01-07 16:54:12:934
0.0,8728,2021-01-07 16:54:12:984
0.0,8778,2021-01-07 16:54:13:034
0.0,8828,2021-01-07 16:54:13:084
0.0,8878,2021-01-07 16:54:13:134
0.0,8927,2021-01-07 16:54:13:183
0.0,8978,2021-01-07 16:54:13:234
0.0,9028,2021-01-07 16:54:13:284
0.0,9078,2021-01-07 16:54:13:334
0.0,9128,2021-01-07 16:54:13:384
0.0,9178,2021-01-07 16:54:13:434
0.0,9228,2021-01-07 16:54:13:484
0.0,9277,2021-01-07 16:54:13:533
0.0,9328,2021-01-07 16:54:13:584
0.0,9379,2021-01-07 16:54:13:635
0.0,9428,2021-01-07 16:54:13:684
0.0,9478,2021-01-07 16:54:13:734
0.0,9528,2021-01-07 16:54:13:784
0.0,9578,2021-01-07 16:54:13:834
0.0,9627,2021-01-07 16:54:13:883
0.0,9678,2021-01-07 16:54:13:934
0.0,9728,2021-01-07 16:54:13:984
0.0,9778,2021-01-07 16:54:14:034
0.0,9827,2021-01-07 16:54:14:083
0.0,9877,2021-01-07 16:54:14:133
0.0,9928,2021-01-07 16:54:14:184
0.0,9978,2021-01-07 16:54:14:234
0.0,10028,2021-01-07 16:54:14:284
0.0,10078,2021-01-07 16:54:14:334
0.0,10128,2021-01-07 16:54:14:384
0.0,10178,2021-01-07 16:54:14:434
0.0,10228,2021-01-07 16:54:14:484
0.0,10278,2021-01-07 16:54:14:534
0.0,10327,2021-01-07 16:54:14:583
0.0,10378,2021-01-07 16:54:14:634
0.0,10428,2021-01-07 16:54:14:684
0.0,10478,2021-01-07 16:54:14:734
0.0,10528,2021-01-07 16:54:14:784
0.0,10578,2021-01-07 16:54:14:834
0.0,10628,2021-01-07 16:54:14:884
0.0,10678,2021-01-07 16:54:14:934
0.0,10728,2021-01-07 16:54:14:984
0.0,10778,2021-01-07 16:54:15:034
0.0,10828,2021-01-07 16:54:15:084
0.0,10878,2021-01-07 16:54:15:134
0.0,10928,2021-01-07 16:54:15:184
0.0,10978,2021-01-07 16:54:15:234
0.0,11028,2021-01-07 16:54:15:284
0.0,11078,2021-01-07 16:54:15:334
0.0,11127,2021-01-07 16:54:15:383
0.0,11178,2021-01-07 16:54:15:434
0.0,11228,2021-01-07 16:54:15:484
0.0,11278,2021-01-07 16:54:15:534
0.0,11328,2021-01-07 16:54:15:584
0.0,11378,2021-01-07 16:54:15:634
3.0,11428,2021-01-07 16:54:15:684
3.0,11478,2021-01-07 16:54:15:734
4.0,11527,2021-01-07 16:54:15:783
6.0,11578,2021-01-07 16:54:15:834
6.0,11627,2021-01-07 16:54:15:883
6.0,11678,2021-01-07 16:54:15:934
6.0,11727,2021-01-07 16:54:15:983
6.0,11778,2021-01-07 16:54:16:034
6.0,11828,2021-01-07 16:54:16:084
6.0,11877,2021-01-07 16:54:16:133
6.0,11928,2021-01-07 16:54:16:184
6.0,11977,2021-01-07 16:54:16:233
6.0,12028,2021-01-07 16:54:16:284
4.0,12078,2021-01-07 16:54:16:334
4.0,12128,2021-01-07 16:54:16:384
4.0,12177,2021-01-07 16:54:16:433
4.0,12228,2021-01-07 16:54:16:484
4.0,12278,2021-01-07 16:54:16:534
4.0,12328,2021-01-07 16:54:16:584
4.0,12378,2021-01-07 16:54:16:634
4.0,12428,2021-01-07 16:54:16:684
4.0,12478,2021-01-07 16:54:16:734
4.0,12528,2021-01-07 16:54:16:784
4.0,12578,2021-01-07 16:54:16:834
4.0,12627,2021-01-07 16:54:16:883
4.0,12678,2021-01-07 16:54:16:934
4.0,12728,2021-01-07 16:54:16:984
4.0,12778,2021-01-07 16:54:17:034
4.0,12828,2021-01-07 16:54:17:084
4.0,12878,2021-01-07 16:54:17:134
4.0,12927,2021-01-07 16:54:17:183
4.0,12977,2021-01-07 16:54:17:233
4.0,13027,2021-01-07 16:54:17:283
4.0,13077,2021-01-07 16:54:17:333
4.0,13128,2021-01-07 16:54:17:384
4.0,13178,2021-01-07 16:54:17:434
4.0,13228,2021-01-07 16:54:17:484
4.0,13278,2021-01-07 16:54:17:534
4.0,13327,2021-01-07 16:54:17:583
4.0,13377,2021-01-07 16:54:17:633
4.0,13428,2021-01-07 16:54:17:684
4.0,13478,2021-01-07 16:54:17:734
4.0,13528,2021-01-07 16:54:17:784
4.0,13578,2021-01-07 16:54:17:834
4.0,13628,2021-01-07 16:54:17:884
4.0,13678,2021-01-07 16:54:17:934
4.0,13728,2021-01-07 16:54:17:984
4.0,13778,2021-01-07 16:54:18:034
4.0,13828,2021-01-07 16:54:18:084
4.0,13878,2021-01-07 16:54:18:134
4.0,13927,2021-01-07 16:54:18:183
4.0,13978,2021-01-07 16:54:18:234
4.0,14028,2021-01-07 16:54:18:284
4.0,14078,2021-01-07 16:54:18:334
4.0,14128,2021-01-07 16:54:18:384
4.0,14178,2021-01-07 16:54:18:434
4.0,14228,2021-01-07 16:54:18:484
4.0,14278,2021-01-07 16:54:18:534
4.0,14328,2021-01-07 16:54:18:584
4.0,14378,2021-01-07 16:54:18:634
4.0,14428,2021-01-07 16:54:18:684
4.0,14478,2021-01-07 16:54:18:734
4.0,14527,2021-01-07 16:54:18:783
4.0,14578,2021-01-07 16:54:18:834
4.0,14629,2021-01-07 16:54:18:885
4.0,14678,2021-01-07 16:54:18:934
4.0,14727,2021-01-07 16:54:18:983
4.0,14778,2021-01-07 16:54:19:034
4.0,14828,2021-01-07 16:54:19:084
