LIGHT (lux),Time sin`ce start in ms,YYYY-MO-DD HH-MI-SS.SSSS
66.00,4633,2022-04-05 14:34:18.4350
66.00,4676,2022-04-05 14:34:18.4790
92.00,4711,2022-04-05 14:34:18.5140
92.00,4747,2022-04-05 14:34:18.5490
92.00,4787,2022-04-05 14:34:18.5900
92.00,4824,2022-04-05 14:34:18.6260
92.00,4856,2022-04-05 14:34:18.6590
92.00,4891,2022-04-05 14:34:18.6930
92.00,4933,2022-04-05 14:34:18.7350
92.00,4967,2022-04-05 14:34:18.7700
92.00,5002,2022-04-05 14:34:18.8050
92.00,5035,2022-04-05 14:34:18.8370
92.00,5070,2022-04-05 14:34:18.8720
92.00,5106,2022-04-05 14:34:18.9080
92.00,5137,2022-04-05 14:34:18.9400
92.00,5169,2022-04-05 14:34:18.9720
92.00,5202,2022-04-05 14:34:19.0040
128.00,5232,2022-04-05 14:34:19.0350
128.00,5260,2022-04-05 14:34:19.0620
128.00,5292,2022-04-05 14:34:19.0940
128.00,5322,2022-04-05 14:34:19.1240
128.00,5350,2022-04-05 14:34:19.1520
128.00,5374,2022-04-05 14:34:19.1770
128.00,5403,2022-04-05 14:34:19.2050
128.00,5434,2022-04-05 14:34:19.2370
111.00,5470,2022-04-05 14:34:19.2720
111.00,5505,2022-04-05 14:34:19.3070
111.00,5541,2022-04-05 14:34:19.3430
111.00,5580,2022-04-05 14:34:19.3820
111.00,5617,2022-04-05 14:34:19.4200
111.00,5649,2022-04-05 14:34:19.4520
111.00,5683,2022-04-05 14:34:19.4850
73.00,5717,2022-04-05 14:34:19.5200
73.00,5746,2022-04-05 14:34:19.5490
73.00,5770,2022-04-05 14:34:19.5730
73.00,5791,2022-04-05 14:34:19.5930
73.00,5813,2022-04-05 14:34:19.6160
73.00,5837,2022-04-05 14:34:19.6400
73.00,5859,2022-04-05 14:34:19.6620
73.00,5881,2022-04-05 14:34:19.6830
73.00,5910,2022-04-05 14:34:19.7120
73.00,5932,2022-04-05 14:34:19.7340
73.00,5954,2022-04-05 14:34:19.7560
73.00,5981,2022-04-05 14:34:19.7840
73.00,6017,2022-04-05 14:34:19.8190
73.00,6050,2022-04-05 14:34:19.8520
73.00,6084,2022-04-05 14:34:19.8870
73.00,6118,2022-04-05 14:34:19.9200
73.00,6148,2022-04-05 14:34:19.9500
73.00,6183,2022-04-05 14:34:19.9860
73.00,6217,2022-04-05 14:34:20.0200
73.00,6253,2022-04-05 14:34:20.0550
73.00,6285,2022-04-05 14:34:20.0880
73.00,6319,2022-04-05 14:34:20.1210
73.00,6351,2022-04-05 14:34:20.1540
73.00,6384,2022-04-05 14:34:20.1860
73.00,6417,2022-04-05 14:34:20.2200
73.00,6446,2022-04-05 14:34:20.2480
73.00,6479,2022-04-05 14:34:20.2820
73.00,6515,2022-04-05 14:34:20.3170
73.00,6550,2022-04-05 14:34:20.3530
73.00,6586,2022-04-05 14:34:20.3880
73.00,6622,2022-04-05 14:34:20.4240
73.00,6662,2022-04-05 14:34:20.4640
73.00,6702,2022-04-05 14:34:20.5040
72.00,6732,2022-04-05 14:34:20.5340
72.00,6766,2022-04-05 14:34:20.5680
