LIGHT (lux),Time sin`ce start in ms,YYYY-MO-DD HH-MI-SS.SSSS
73.00,48237,2022-04-05 14:35:02.0400
73.00,48272,2022-04-05 14:35:02.0740
73.00,48305,2022-04-05 14:35:02.1080
73.00,48336,2022-04-05 14:35:02.1380
73.00,48367,2022-04-05 14:35:02.1690
73.00,48406,2022-04-05 14:35:02.2080
73.00,48438,2022-04-05 14:35:02.2410
102.00,48472,2022-04-05 14:35:02.2740
102.00,48504,2022-04-05 14:35:02.3070
102.00,48532,2022-04-05 14:35:02.3340
102.00,48560,2022-04-05 14:35:02.3630
102.00,48587,2022-04-05 14:35:02.3900
102.00,48615,2022-04-05 14:35:02.4180
102.00,48644,2022-04-05 14:35:02.4460
102.00,48670,2022-04-05 14:35:02.4730
102.00,48695,2022-04-05 14:35:02.4970
102.00,48718,2022-04-05 14:35:02.5200
102.00,48745,2022-04-05 14:35:02.5480
102.00,48766,2022-04-05 14:35:02.5690
102.00,48790,2022-04-05 14:35:02.5920
102.00,48818,2022-04-05 14:35:02.6200
102.00,48845,2022-04-05 14:35:02.6480
102.00,48874,2022-04-05 14:35:02.6770
102.00,48898,2022-04-05 14:35:02.7010
102.00,48925,2022-04-05 14:35:02.7270
102.00,48957,2022-04-05 14:35:02.7590
102.00,48995,2022-04-05 14:35:02.7980
102.00,49033,2022-04-05 14:35:02.8360
102.00,49070,2022-04-05 14:35:02.8730
102.00,49105,2022-04-05 14:35:02.9080
102.00,49139,2022-04-05 14:35:02.9420
102.00,49180,2022-04-05 14:35:02.9820
102.00,49211,2022-04-05 14:35:03.0130
102.00,49246,2022-04-05 14:35:03.0490
102.00,49283,2022-04-05 14:35:03.0860
102.00,49320,2022-04-05 14:35:03.1230
102.00,49354,2022-04-05 14:35:03.1560
102.00,49389,2022-04-05 14:35:03.1910
102.00,49431,2022-04-05 14:35:03.2340
102.00,49462,2022-04-05 14:35:03.2640
102.00,49501,2022-04-05 14:35:03.3040
102.00,49539,2022-04-05 14:35:03.3410
102.00,49571,2022-04-05 14:35:03.3740
102.00,49603,2022-04-05 14:35:03.4050
102.00,49642,2022-04-05 14:35:03.4450
102.00,49679,2022-04-05 14:35:03.4810
102.00,49716,2022-04-05 14:35:03.5190
81.00,49748,2022-04-05 14:35:03.5510
81.00,49777,2022-04-05 14:35:03.5800
81.00,49806,2022-04-05 14:35:03.6080
81.00,49834,2022-04-05 14:35:03.6370
81.00,49862,2022-04-05 14:35:03.6650
81.00,49886,2022-04-05 14:35:03.6890
81.00,49909,2022-04-05 14:35:03.7110
81.00,49941,2022-04-05 14:35:03.7430
71.00,49980,2022-04-05 14:35:03.7820
71.00,50021,2022-04-05 14:35:03.8240
71.00,50055,2022-04-05 14:35:03.8580
71.00,50089,2022-04-05 14:35:03.8920
71.00,50129,2022-04-05 14:35:03.9310
71.00,50168,2022-04-05 14:35:03.9700
71.00,50202,2022-04-05 14:35:04.0050
71.00,50237,2022-04-05 14:35:04.0400
71.00,50271,2022-04-05 14:35:04.0730
71.00,50306,2022-04-05 14:35:04.1080
71.00,50341,2022-04-05 14:35:04.1440
71.00,50378,2022-04-05 14:35:04.1800
71.00,50417,2022-04-05 14:35:04.2190
71.00,50448,2022-04-05 14:35:04.2510
96.00,50484,2022-04-05 14:35:04.2860
96.00,50521,2022-04-05 14:35:04.3240
96.00,50563,2022-04-05 14:35:04.3660
96.00,50600,2022-04-05 14:35:04.4020
96.00,50634,2022-04-05 14:35:04.4360
96.00,50670,2022-04-05 14:35:04.4720
96.00,50705,2022-04-05 14:35:04.5070
96.00,50745,2022-04-05 14:35:04.5480
96.00,50783,2022-04-05 14:35:04.5860
96.00,50820,2022-04-05 14:35:04.6230
96.00,50855,2022-04-05 14:35:04.6580
96.00,50898,2022-04-05 14:35:04.7000
96.00,50935,2022-04-05 14:35:04.7370
96.00,50972,2022-04-05 14:35:04.7740
96.00,51012,2022-04-05 14:35:04.8140
96.00,51040,2022-04-05 14:35:04.8430
96.00,51077,2022-04-05 14:35:04.8800
96.00,51115,2022-04-05 14:35:04.9180
96.00,51153,2022-04-05 14:35:04.9560
96.00,51187,2022-04-05 14:35:04.9900
96.00,51222,2022-04-05 14:35:05.0250
96.00,51263,2022-04-05 14:35:05.0650
96.00,51297,2022-04-05 14:35:05.0990
96.00,51333,2022-04-05 14:35:05.1360
96.00,51368,2022-04-05 14:35:05.1700
96.00,51403,2022-04-05 14:35:05.2050
96.00,51438,2022-04-05 14:35:05.2400
96.00,51475,2022-04-05 14:35:05.2770
96.00,51505,2022-04-05 14:35:05.3070
96.00,51543,2022-04-05 14:35:05.3450
96.00,51577,2022-04-05 14:35:05.3800
96.00,51612,2022-04-05 14:35:05.4140
96.00,51649,2022-04-05 14:35:05.4520
96.00,51687,2022-04-05 14:35:05.4900
96.00,51721,2022-04-05 14:35:05.5230
80.00,51755,2022-04-05 14:35:05.5580
80.00,51796,2022-04-05 14:35:05.5980
80.00,51833,2022-04-05 14:35:05.6350
80.00,51869,2022-04-05 14:35:05.6720
80.00,51909,2022-04-05 14:35:05.7110
80.00,51945,2022-04-05 14:35:05.7480
71.00,51984,2022-04-05 14:35:05.7860
71.00,52021,2022-04-05 14:35:05.8230
71.00,52055,2022-04-05 14:35:05.8570
71.00,52090,2022-04-05 14:35:05.8920
71.00,52128,2022-04-05 14:35:05.9300
71.00,52164,2022-04-05 14:35:05.9660
71.00,52202,2022-04-05 14:35:06.0050
71.00,52239,2022-04-05 14:35:06.0410
71.00,52272,2022-04-05 14:35:06.0750
71.00,52314,2022-04-05 14:35:06.1170
71.00,52344,2022-04-05 14:35:06.1460
71.00,52382,2022-04-05 14:35:06.1850
71.00,52419,2022-04-05 14:35:06.2210
71.00,52456,2022-04-05 14:35:06.2580
96.00,52487,2022-04-05 14:35:06.2900
96.00,52516,2022-04-05 14:35:06.3190
96.00,52548,2022-04-05 14:35:06.3500
96.00,52585,2022-04-05 14:35:06.3870
96.00,52619,2022-04-05 14:35:06.4210
96.00,52662,2022-04-05 14:35:06.4640
96.00,52697,2022-04-05 14:35:06.4990
96.00,52734,2022-04-05 14:35:06.5370
97.00,52771,2022-04-05 14:35:06.5740
97.00,52807,2022-04-05 14:35:06.6090
97.00,52844,2022-04-05 14:35:06.6470
97.00,52882,2022-04-05 14:35:06.6840
97.00,52917,2022-04-05 14:35:06.7200
97.00,52952,2022-04-05 14:35:06.7550
97.00,52995,2022-04-05 14:35:06.7970
97.00,53030,2022-04-05 14:35:06.8330
97.00,53066,2022-04-05 14:35:06.8680
97.00,53098,2022-04-05 14:35:06.9010
97.00,53132,2022-04-05 14:35:06.9350
97.00,53173,2022-04-05 14:35:06.9750
97.00,53208,2022-04-05 14:35:07.0100
97.00,53247,2022-04-05 14:35:07.0490
97.00,53283,2022-04-05 14:35:07.0850
97.00,53320,2022-04-05 14:35:07.1230
97.00,53354,2022-04-05 14:35:07.1560
97.00,53389,2022-04-05 14:35:07.1920
97.00,53426,2022-04-05 14:35:07.2280
97.00,53469,2022-04-05 14:35:07.2710
97.00,53501,2022-04-05 14:35:07.3030
97.00,53531,2022-04-05 14:35:07.3340
97.00,53568,2022-04-05 14:35:07.3700
97.00,53599,2022-04-05 14:35:07.4020
97.00,53634,2022-04-05 14:35:07.4360
97.00,53670,2022-04-05 14:35:07.4720
97.00,53706,2022-04-05 14:35:07.5090
83.00,53746,2022-04-05 14:35:07.5490
83.00,53783,2022-04-05 14:35:07.5850
83.00,53820,2022-04-05 14:35:07.6230
83.00,53858,2022-04-05 14:35:07.6600
83.00,53895,2022-04-05 14:35:07.6980
83.00,53929,2022-04-05 14:35:07.7320
83.00,53965,2022-04-05 14:35:07.7670
71.00,54002,2022-04-05 14:35:07.8050
71.00,54036,2022-04-05 14:35:07.8390
71.00,54073,2022-04-05 14:35:07.8750
71.00,54109,2022-04-05 14:35:07.9120
71.00,54147,2022-04-05 14:35:07.9490
71.00,54186,2022-04-05 14:35:07.9880
71.00,54220,2022-04-05 14:35:08.0230
71.00,54260,2022-04-05 14:35:08.0630
71.00,54300,2022-04-05 14:35:08.1020
71.00,54331,2022-04-05 14:35:08.1340
71.00,54368,2022-04-05 14:35:08.1700
71.00,54404,2022-04-05 14:35:08.2060
71.00,54438,2022-04-05 14:35:08.2410
71.00,54474,2022-04-05 14:35:08.2760
96.00,54507,2022-04-05 14:35:08.3090
96.00,54544,2022-04-05 14:35:08.3460
96.00,54585,2022-04-05 14:35:08.3870
96.00,54618,2022-04-05 14:35:08.4200
96.00,54652,2022-04-05 14:35:08.4550
96.00,54686,2022-04-05 14:35:08.4890
96.00,54722,2022-04-05 14:35:08.5250
101.00,54761,2022-04-05 14:35:08.5640
101.00,54786,2022-04-05 14:35:08.5890
101.00,54816,2022-04-05 14:35:08.6180
101.00,54833,2022-04-05 14:35:08.6350
101.00,54850,2022-04-05 14:35:08.6520
101.00,54867,2022-04-05 14:35:08.6690
101.00,54884,2022-04-05 14:35:08.6860
101.00,54901,2022-04-05 14:35:08.7040
101.00,54922,2022-04-05 14:35:08.7250
101.00,54945,2022-04-05 14:35:08.7470
101.00,54975,2022-04-05 14:35:08.7770
101.00,54995,2022-04-05 14:35:08.7970
101.00,55031,2022-04-05 14:35:08.8330
101.00,55066,2022-04-05 14:35:08.8690
101.00,55102,2022-04-05 14:35:08.9050
101.00,55139,2022-04-05 14:35:08.9410
101.00,55174,2022-04-05 14:35:08.9760
101.00,55208,2022-04-05 14:35:09.0110
101.00,55248,2022-04-05 14:35:09.0500
101.00,55286,2022-04-05 14:35:09.0880
101.00,55321,2022-04-05 14:35:09.1230
101.00,55352,2022-04-05 14:35:09.1550
101.00,55386,2022-04-05 14:35:09.1880
101.00,55420,2022-04-05 14:35:09.2220
101.00,55455,2022-04-05 14:35:09.2570
101.00,55492,2022-04-05 14:35:09.2950
101.00,55523,2022-04-05 14:35:09.3260
101.00,55557,2022-04-05 14:35:09.3590
101.00,55599,2022-04-05 14:35:09.4020
101.00,55637,2022-04-05 14:35:09.4390
101.00,55673,2022-04-05 14:35:09.4760
101.00,55707,2022-04-05 14:35:09.5100
101.00,55746,2022-04-05 14:35:09.5480
85.00,55779,2022-04-05 14:35:09.5820
85.00,55808,2022-04-05 14:35:09.6100
85.00,55829,2022-04-05 14:35:09.6310
85.00,55860,2022-04-05 14:35:09.6620
85.00,55890,2022-04-05 14:35:09.6930
85.00,55921,2022-04-05 14:35:09.7240
85.00,55951,2022-04-05 14:35:09.7540
85.00,55987,2022-04-05 14:35:09.7890
71.00,56020,2022-04-05 14:35:09.8230
71.00,56051,2022-04-05 14:35:09.8530
71.00,56076,2022-04-05 14:35:09.8790
71.00,56108,2022-04-05 14:35:09.9110
71.00,56146,2022-04-05 14:35:09.9490
71.00,56182,2022-04-05 14:35:09.9840
71.00,56214,2022-04-05 14:35:10.0170
96.00,56251,2022-04-05 14:35:10.0530
96.00,56285,2022-04-05 14:35:10.0880
96.00,56321,2022-04-05 14:35:10.1240
96.00,56354,2022-04-05 14:35:10.1570
96.00,56391,2022-04-05 14:35:10.1930
96.00,56423,2022-04-05 14:35:10.2250
96.00,56461,2022-04-05 14:35:10.2630
96.00,56497,2022-04-05 14:35:10.3000
100.00,56532,2022-04-05 14:35:10.3340
100.00,56566,2022-04-05 14:35:10.3690
100.00,56598,2022-04-05 14:35:10.4010
100.00,56632,2022-04-05 14:35:10.4340
100.00,56668,2022-04-05 14:35:10.4710
100.00,56701,2022-04-05 14:35:10.5040
100.00,56736,2022-04-05 14:35:10.5390
100.00,56773,2022-04-05 14:35:10.5750
100.00,56807,2022-04-05 14:35:10.6100
100.00,56846,2022-04-05 14:35:10.6490
100.00,56885,2022-04-05 14:35:10.6870
100.00,56920,2022-04-05 14:35:10.7220
100.00,56960,2022-04-05 14:35:10.7620
100.00,56989,2022-04-05 14:35:10.7920
100.00,57020,2022-04-05 14:35:10.8230
100.00,57055,2022-04-05 14:35:10.8580
100.00,57095,2022-04-05 14:35:10.8970
100.00,57130,2022-04-05 14:35:10.9330
100.00,57165,2022-04-05 14:35:10.9680
100.00,57202,2022-04-05 14:35:11.0050
100.00,57236,2022-04-05 14:35:11.0380
100.00,57270,2022-04-05 14:35:11.0730
100.00,57306,2022-04-05 14:35:11.1090
100.00,57338,2022-04-05 14:35:11.1400
100.00,57370,2022-04-05 14:35:11.1720
100.00,57404,2022-04-05 14:35:11.2070
100.00,57440,2022-04-05 14:35:11.2430
100.00,57474,2022-04-05 14:35:11.2770
88.00,57510,2022-04-05 14:35:11.3130
88.00,57540,2022-04-05 14:35:11.3420
88.00,57575,2022-04-05 14:35:11.3770
88.00,57610,2022-04-05 14:35:11.4120
88.00,57645,2022-04-05 14:35:11.4480
88.00,57683,2022-04-05 14:35:11.4850
88.00,57715,2022-04-05 14:35:11.5180
88.00,57752,2022-04-05 14:35:11.5550
71.00,57787,2022-04-05 14:35:11.5900
71.00,57827,2022-04-05 14:35:11.6300
71.00,57863,2022-04-05 14:35:11.6660
71.00,57899,2022-04-05 14:35:11.7020
71.00,57939,2022-04-05 14:35:11.7420
71.00,57974,2022-04-05 14:35:11.7770
71.00,58011,2022-04-05 14:35:11.8140
71.00,58048,2022-04-05 14:35:11.8510
71.00,58083,2022-04-05 14:35:11.8860
71.00,58118,2022-04-05 14:35:11.9210
71.00,58157,2022-04-05 14:35:11.9590
71.00,58195,2022-04-05 14:35:11.9970
71.00,58232,2022-04-05 14:35:12.0350
91.00,58272,2022-04-05 14:35:12.0750
91.00,58306,2022-04-05 14:35:12.1090
91.00,58339,2022-04-05 14:35:12.1420
91.00,58375,2022-04-05 14:35:12.1770
91.00,58409,2022-04-05 14:35:12.2110
91.00,58444,2022-04-05 14:35:12.2460
91.00,58481,2022-04-05 14:35:12.2830
97.00,58516,2022-04-05 14:35:12.3190
97.00,58547,2022-04-05 14:35:12.3500
97.00,58583,2022-04-05 14:35:12.3850
97.00,58618,2022-04-05 14:35:12.4200
97.00,58651,2022-04-05 14:35:12.4530
97.00,58684,2022-04-05 14:35:12.4870
97.00,58718,2022-04-05 14:35:12.5210
97.00,58756,2022-04-05 14:35:12.5590
97.00,58794,2022-04-05 14:35:12.5960
97.00,58829,2022-04-05 14:35:12.6320
97.00,58866,2022-04-05 14:35:12.6690
97.00,58902,2022-04-05 14:35:12.7050
97.00,58937,2022-04-05 14:35:12.7390
97.00,58974,2022-04-05 14:35:12.7770
97.00,59012,2022-04-05 14:35:12.8140
97.00,59048,2022-04-05 14:35:12.8500
97.00,59084,2022-04-05 14:35:12.8870
97.00,59117,2022-04-05 14:35:12.9200
97.00,59153,2022-04-05 14:35:12.9550
97.00,59189,2022-04-05 14:35:12.9910
97.00,59232,2022-04-05 14:35:13.0340
97.00,59269,2022-04-05 14:35:13.0720
97.00,59306,2022-04-05 14:35:13.1080
97.00,59343,2022-04-05 14:35:13.1450
97.00,59377,2022-04-05 14:35:13.1790
97.00,59409,2022-04-05 14:35:13.2120
97.00,59444,2022-04-05 14:35:13.2460
97.00,59480,2022-04-05 14:35:13.2830
86.00,59522,2022-04-05 14:35:13.3250
86.00,59558,2022-04-05 14:35:13.3600
86.00,59590,2022-04-05 14:35:13.3920
86.00,59625,2022-04-05 14:35:13.4280
86.00,59660,2022-04-05 14:35:13.4620
86.00,59696,2022-04-05 14:35:13.4990
86.00,59732,2022-04-05 14:35:13.5350
71.00,59772,2022-04-05 14:35:13.5740
71.00,59806,2022-04-05 14:35:13.6090
71.00,59847,2022-04-05 14:35:13.6490
71.00,59883,2022-04-05 14:35:13.6860
71.00,59916,2022-04-05 14:35:13.7190
71.00,59952,2022-04-05 14:35:13.7550
71.00,59994,2022-04-05 14:35:13.7970
71.00,60029,2022-04-05 14:35:13.8310
71.00,60064,2022-04-05 14:35:13.8660
71.00,60101,2022-04-05 14:35:13.9030
71.00,60136,2022-04-05 14:35:13.9380
71.00,60174,2022-04-05 14:35:13.9760
71.00,60210,2022-04-05 14:35:14.0130
71.00,60243,2022-04-05 14:35:14.0450
89.00,60281,2022-04-05 14:35:14.0840
89.00,60318,2022-04-05 14:35:14.1210
89.00,60354,2022-04-05 14:35:14.1560
89.00,60389,2022-04-05 14:35:14.1910
89.00,60428,2022-04-05 14:35:14.2300
89.00,60460,2022-04-05 14:35:14.2630
89.00,60501,2022-04-05 14:35:14.3040
96.00,60539,2022-04-05 14:35:14.3410
96.00,60571,2022-04-05 14:35:14.3730
96.00,60602,2022-04-05 14:35:14.4040
96.00,60635,2022-04-05 14:35:14.4370
96.00,60669,2022-04-05 14:35:14.4710
96.00,60701,2022-04-05 14:35:14.5040
96.00,60736,2022-04-05 14:35:14.5380
96.00,60779,2022-04-05 14:35:14.5810
96.00,60818,2022-04-05 14:35:14.6210
96.00,60854,2022-04-05 14:35:14.6570
96.00,60887,2022-04-05 14:35:14.6900
96.00,60919,2022-04-05 14:35:14.7210
96.00,60952,2022-04-05 14:35:14.7540
96.00,60989,2022-04-05 14:35:14.7920
96.00,61030,2022-04-05 14:35:14.8320
96.00,61067,2022-04-05 14:35:14.8690
96.00,61099,2022-04-05 14:35:14.9020
96.00,61134,2022-04-05 14:35:14.9360
96.00,61174,2022-04-05 14:35:14.9770
96.00,61209,2022-04-05 14:35:15.0110
96.00,61243,2022-04-05 14:35:15.0460
96.00,61283,2022-04-05 14:35:15.0850
96.00,61317,2022-04-05 14:35:15.1190
96.00,61350,2022-04-05 14:35:15.1520
96.00,61385,2022-04-05 14:35:15.1870
96.00,61425,2022-04-05 14:35:15.2270
96.00,61460,2022-04-05 14:35:15.2620
96.00,61497,2022-04-05 14:35:15.3000
87.00,61534,2022-04-05 14:35:15.3370
87.00,61571,2022-04-05 14:35:15.3730
87.00,61605,2022-04-05 14:35:15.4070
87.00,61637,2022-04-05 14:35:15.4390
87.00,61668,2022-04-05 14:35:15.4700
87.00,61702,2022-04-05 14:35:15.5050
87.00,61736,2022-04-05 14:35:15.5390
71.00,61773,2022-04-05 14:35:15.5750
71.00,61806,2022-04-05 14:35:15.6090
71.00,61838,2022-04-05 14:35:15.6410
71.00,61871,2022-04-05 14:35:15.6740
71.00,61912,2022-04-05 14:35:15.7140
71.00,61948,2022-04-05 14:35:15.7500
71.00,61987,2022-04-05 14:35:15.7900
71.00,62017,2022-04-05 14:35:15.8200
71.00,62051,2022-04-05 14:35:15.8540
71.00,62088,2022-04-05 14:35:15.8900
71.00,62125,2022-04-05 14:35:15.9270
71.00,62162,2022-04-05 14:35:15.9640
71.00,62202,2022-04-05 14:35:16.0050
71.00,62232,2022-04-05 14:35:16.0350
71.00,62269,2022-04-05 14:35:16.0710
90.00,62305,2022-04-05 14:35:16.1080
90.00,62333,2022-04-05 14:35:16.1360
90.00,62369,2022-04-05 14:35:16.1710
90.00,62404,2022-04-05 14:35:16.2060
90.00,62439,2022-04-05 14:35:16.2420
90.00,62481,2022-04-05 14:35:16.2830
90.00,62519,2022-04-05 14:35:16.3210
101.00,62546,2022-04-05 14:35:16.3490
101.00,62575,2022-04-05 14:35:16.3770
101.00,62596,2022-04-05 14:35:16.3980
101.00,62616,2022-04-05 14:35:16.4190
101.00,62644,2022-04-05 14:35:16.4460
101.00,62665,2022-04-05 14:35:16.4670
101.00,62686,2022-04-05 14:35:16.4880
101.00,62712,2022-04-05 14:35:16.5150
101.00,62740,2022-04-05 14:35:16.5420
101.00,62769,2022-04-05 14:35:16.5710
101.00,62792,2022-04-05 14:35:16.5950
101.00,62821,2022-04-05 14:35:16.6230
101.00,62854,2022-04-05 14:35:16.6570
101.00,62890,2022-04-05 14:35:16.6930
101.00,62928,2022-04-05 14:35:16.7300
101.00,62964,2022-04-05 14:35:16.7670
101.00,63001,2022-04-05 14:35:16.8040
101.00,63035,2022-04-05 14:35:16.8370
101.00,63071,2022-04-05 14:35:16.8730
101.00,63101,2022-04-05 14:35:16.9030
101.00,63131,2022-04-05 14:35:16.9330
101.00,63156,2022-04-05 14:35:16.9590
101.00,63185,2022-04-05 14:35:16.9870
101.00,63207,2022-04-05 14:35:17.0090
101.00,63235,2022-04-05 14:35:17.0370
101.00,63259,2022-04-05 14:35:17.0620
101.00,63289,2022-04-05 14:35:17.0920
101.00,63320,2022-04-05 14:35:17.1220
101.00,63355,2022-04-05 14:35:17.1580
101.00,63392,2022-04-05 14:35:17.1940
101.00,63428,2022-04-05 14:35:17.2300
101.00,63464,2022-04-05 14:35:17.2670
101.00,63499,2022-04-05 14:35:17.3020
93.00,63536,2022-04-05 14:35:17.3380
93.00,63566,2022-04-05 14:35:17.3690
93.00,63595,2022-04-05 14:35:17.3970
93.00,63622,2022-04-05 14:35:17.4250
93.00,63650,2022-04-05 14:35:17.4520
93.00,63676,2022-04-05 14:35:17.4780
93.00,63705,2022-04-05 14:35:17.5080
93.00,63727,2022-04-05 14:35:17.5300
93.00,63751,2022-04-05 14:35:17.5540
71.00,63776,2022-04-05 14:35:17.5790
71.00,63806,2022-04-05 14:35:17.6080
71.00,63835,2022-04-05 14:35:17.6370
71.00,63861,2022-04-05 14:35:17.6630
71.00,63886,2022-04-05 14:35:17.6880
71.00,63915,2022-04-05 14:35:17.7180
71.00,63973,2022-04-05 14:35:17.7750
71.00,64006,2022-04-05 14:35:17.8080
71.00,64032,2022-04-05 14:35:17.8340
71.00,64057,2022-04-05 14:35:17.8600
71.00,64085,2022-04-05 14:35:17.8870
71.00,64110,2022-04-05 14:35:17.9130
71.00,64144,2022-04-05 14:35:17.9470
71.00,64182,2022-04-05 14:35:17.9840
71.00,64218,2022-04-05 14:35:18.0200
71.00,64252,2022-04-05 14:35:18.0540
88.00,64285,2022-04-05 14:35:18.0880
88.00,64318,2022-04-05 14:35:18.1200
88.00,64347,2022-04-05 14:35:18.1500
88.00,64402,2022-04-05 14:35:18.2050
88.00,64456,2022-04-05 14:35:18.2580
88.00,64500,2022-04-05 14:35:18.3030
100.00,64550,2022-04-05 14:35:18.3530
100.00,64588,2022-04-05 14:35:18.3900
100.00,64618,2022-04-05 14:35:18.4200
100.00,64647,2022-04-05 14:35:18.4500
100.00,64679,2022-04-05 14:35:18.4810
100.00,64734,2022-04-05 14:35:18.5360
100.00,64769,2022-04-05 14:35:18.5710
100.00,64821,2022-04-05 14:35:18.6240
100.00,64854,2022-04-05 14:35:18.6570
100.00,64878,2022-04-05 14:35:18.6810
100.00,64919,2022-04-05 14:35:18.7210
100.00,64952,2022-04-05 14:35:18.7540
100.00,64980,2022-04-05 14:35:18.7830
100.00,65017,2022-04-05 14:35:18.8190
100.00,65054,2022-04-05 14:35:18.8560
100.00,65086,2022-04-05 14:35:18.8890
100.00,65117,2022-04-05 14:35:18.9200
100.00,65155,2022-04-05 14:35:18.9570
100.00,65185,2022-04-05 14:35:18.9870
100.00,65221,2022-04-05 14:35:19.0240
100.00,65255,2022-04-05 14:35:19.0580
100.00,65293,2022-04-05 14:35:19.0960
100.00,65326,2022-04-05 14:35:19.1290
100.00,65355,2022-04-05 14:35:19.1570
100.00,65382,2022-04-05 14:35:19.1850
100.00,65410,2022-04-05 14:35:19.2130
100.00,65439,2022-04-05 14:35:19.2410
100.00,65467,2022-04-05 14:35:19.2700
100.00,65495,2022-04-05 14:35:19.2980
100.00,65527,2022-04-05 14:35:19.3300
94.00,65557,2022-04-05 14:35:19.3600
94.00,65589,2022-04-05 14:35:19.3920
94.00,65619,2022-04-05 14:35:19.4210
94.00,65647,2022-04-05 14:35:19.4500
94.00,65679,2022-04-05 14:35:19.4820
94.00,65709,2022-04-05 14:35:19.5120
94.00,65744,2022-04-05 14:35:19.5470
94.00,65782,2022-04-05 14:35:19.5850
71.00,65815,2022-04-05 14:35:19.6170
71.00,65849,2022-04-05 14:35:19.6510
71.00,65887,2022-04-05 14:35:19.6900
71.00,65922,2022-04-05 14:35:19.7240
71.00,65956,2022-04-05 14:35:19.7590
71.00,65986,2022-04-05 14:35:19.7880
71.00,66016,2022-04-05 14:35:19.8180
71.00,66048,2022-04-05 14:35:19.8500
71.00,66079,2022-04-05 14:35:19.8810
71.00,66117,2022-04-05 14:35:19.9190
71.00,66156,2022-04-05 14:35:19.9580
71.00,66193,2022-04-05 14:35:19.9950
71.00,66228,2022-04-05 14:35:20.0300
71.00,66264,2022-04-05 14:35:20.0670
85.00,66301,2022-04-05 14:35:20.1030
85.00,66332,2022-04-05 14:35:20.1350
85.00,66368,2022-04-05 14:35:20.1710
85.00,66405,2022-04-05 14:35:20.2080
85.00,66438,2022-04-05 14:35:20.2410
85.00,66471,2022-04-05 14:35:20.2730
85.00,66507,2022-04-05 14:35:20.3090
97.00,66542,2022-04-05 14:35:20.3450
97.00,66572,2022-04-05 14:35:20.3750
97.00,66612,2022-04-05 14:35:20.4140
97.00,66648,2022-04-05 14:35:20.4500
97.00,66684,2022-04-05 14:35:20.4860
97.00,66716,2022-04-05 14:35:20.5190
97.00,66751,2022-04-05 14:35:20.5540
97.00,66787,2022-04-05 14:35:20.5900
97.00,66820,2022-04-05 14:35:20.6230
97.00,66855,2022-04-05 14:35:20.6570
97.00,66887,2022-04-05 14:35:20.6890
97.00,66925,2022-04-05 14:35:20.7280
97.00,66962,2022-04-05 14:35:20.7650
97.00,66999,2022-04-05 14:35:20.8020
97.00,67035,2022-04-05 14:35:20.8380
97.00,67070,2022-04-05 14:35:20.8730
97.00,67105,2022-04-05 14:35:20.9080
97.00,67146,2022-04-05 14:35:20.9480
97.00,67182,2022-04-05 14:35:20.9840
97.00,67214,2022-04-05 14:35:21.0160
97.00,67248,2022-04-05 14:35:21.0510
97.00,67283,2022-04-05 14:35:21.0860
97.00,67318,2022-04-05 14:35:21.1210
97.00,67353,2022-04-05 14:35:21.1550
97.00,67383,2022-04-05 14:35:21.1850
97.00,67417,2022-04-05 14:35:21.2190
97.00,67453,2022-04-05 14:35:21.2560
97.00,67488,2022-04-05 14:35:21.2900
97.00,67522,2022-04-05 14:35:21.3250
93.00,67562,2022-04-05 14:35:21.3650
93.00,67590,2022-04-05 14:35:21.3930
93.00,67627,2022-04-05 14:35:21.4290
93.00,67666,2022-04-05 14:35:21.4690
93.00,67702,2022-04-05 14:35:21.5040
93.00,67734,2022-04-05 14:35:21.5360
93.00,67771,2022-04-05 14:35:21.5730
71.00,67805,2022-04-05 14:35:21.6080
71.00,67835,2022-04-05 14:35:21.6380
71.00,67870,2022-04-05 14:35:21.6730
71.00,67906,2022-04-05 14:35:21.7080
71.00,67946,2022-04-05 14:35:21.7480
71.00,67987,2022-04-05 14:35:21.7890
71.00,68020,2022-04-05 14:35:21.8220
71.00,68057,2022-04-05 14:35:21.8590
71.00,68098,2022-04-05 14:35:21.9010
71.00,68133,2022-04-05 14:35:21.9360
71.00,68168,2022-04-05 14:35:21.9700
71.00,68203,2022-04-05 14:35:22.0060
71.00,68237,2022-04-05 14:35:22.0400
71.00,68271,2022-04-05 14:35:22.0730
83.00,68315,2022-04-05 14:35:22.1180
83.00,68349,2022-04-05 14:35:22.1510
83.00,68383,2022-04-05 14:35:22.1860
83.00,68415,2022-04-05 14:35:22.2170
83.00,68450,2022-04-05 14:35:22.2530
83.00,68486,2022-04-05 14:35:22.2880
83.00,68522,2022-04-05 14:35:22.3250
98.00,68564,2022-04-05 14:35:22.3670
98.00,68605,2022-04-05 14:35:22.4070
98.00,68647,2022-04-05 14:35:22.4500
98.00,68683,2022-04-05 14:35:22.4860
98.00,68716,2022-04-05 14:35:22.5180
98.00,68751,2022-04-05 14:35:22.5530
98.00,68786,2022-04-05 14:35:22.5890
98.00,68827,2022-04-05 14:35:22.6300
98.00,68859,2022-04-05 14:35:22.6610
98.00,68895,2022-04-05 14:35:22.6970
98.00,68931,2022-04-05 14:35:22.7330
98.00,68965,2022-04-05 14:35:22.7670
98.00,69001,2022-04-05 14:35:22.8030
98.00,69036,2022-04-05 14:35:22.8380
